name,type,cat,Russia's share of China's export,China's share of Russia's import
2009,Total imports,Import,2.1165374113723443,-7.052097390045772
2010,Total imports,Import,1.856301167563132,-6.526344419895275
2011,Total imports,Import,2.3151725406561647,-7.80719077888265
2012,Total imports,Import,2.4275821373147672,-8.411033410996396
2013,Total imports,Import,2.0342556224452784,-7.523305901362458
2014,Total imports,Import,2.122946607275277,-8.354902307112384
2015,Total imports,Import,1.975214868686881,-9.959949811485426
2016,Total imports,Import,2.0224852765982555,-11.254692493829895
2017,Total imports,Import,2.246218659766024,-11.58047439008846
2018,Total imports,Import,2.7581928457076765,-13.105026944679214
2019,Total imports,Import,2.9610565864849265,-14.473494969987346
2020,Total imports,Import,2.776571832141992,-16.94267583150089
2021,Total imports,Import,2.920466652622935,-15.87244932957356
2022,Total imports,Import,4.202835911904841,-19.844175626581062
2023,Total imports,Import,5.020268493288539,-30.45496108001543
2024,Total imports,Import,4.988632197966343,-33.43489188354285
2009,Mineral fuels,Import,7.571378475223703,-4.935680599180657
2010,Mineral fuels,Import,6.7993241020762,-4.891208435580901
2011,Mineral fuels,Import,8.312345607288536,-6.508688180430456
2012,Mineral fuels,Import,9.430067407809858,-8.003838490075339
2013,Mineral fuels,Import,8.527071335327706,-7.225126617821513
2014,Mineral fuels,Import,9.381417932535866,-8.586394208539378
2015,Mineral fuels,Import,10.1785893019139,-11.984756952402229
2016,Mineral fuels,Import,10.758378440231533,-14.041716432877575
2017,Mineral fuels,Import,11.01969387328109,-15.742884461486174
2018,Mineral fuels,Import,12.108745144092254,-17.724541913844376
2019,Mineral fuels,Import,12.749300337123037,-19.35978605246672
2020,Mineral fuels,Import,12.721452540165334,-23.411071531195923
2021,Mineral fuels,Import,13.29574355006832,-24.65758055614781
2022,Mineral fuels,Import,15.948403886643916,-22.096451785261948
2023,Mineral fuels,Import,18.28000411050343,-35.96399227340571
2024,Mineral fuels,Import,18.836381735555676,-37.50201473305856
2009,Aluminium and articles thereof,Import,7.438846139299741,-10.970079294350901
2010,Aluminium and articles thereof,Import,2.53375121197844,-3.341697937089283
2011,Aluminium and articles thereof,Import,2.929099053844295,-3.6983399292828762
2012,Aluminium and articles thereof,Import,4.036535807810899,-5.334916489128496
2013,Aluminium and articles thereof,Import,2.8152169441596624,-3.438741125095865
2014,Aluminium and articles thereof,Import,1.928006239558753,-2.450343909442582
2015,Aluminium and articles thereof,Import,0.6869991998451053,-0.692007780273542
2016,Aluminium and articles thereof,Import,0.8979614362335322,-0.8924429717085094
2017,Aluminium and articles thereof,Import,1.062566527537243,-1.0535388842551787
2018,Aluminium and articles thereof,Import,2.5263712015968327,-2.5593702039457136
2019,Aluminium and articles thereof,Import,1.4703959342174042,-1.4597305062850412
2020,Aluminium and articles thereof,Import,9.606193562830375,-14.325010281567616
2021,Aluminium and articles thereof,Import,6.499622698805056,-9.364151205927287
2022,Aluminium and articles thereof,Import,11.76539046992487,-13.35386596774123
2023,Aluminium and articles thereof,Import,23.21791333643375,-33.48331197984077
2024,Aluminium and articles thereof,Import,23.786944811221463,-46.67749655193455
2009,Wood and articles,Import,32.565481265490114,-42.3938582233266
2010,Wood and articles,Import,24.546040303295197,-45.25517259713681
2011,Wood and articles,Import,21.994963712293426,-50.01464778004039
2012,Wood and articles,Import,19.474192660789996,-43.187102599852686
2013,Wood and articles,Import,15.061454523716385,-38.56461058591644
2014,Wood and articles,Import,13.871392122643375,-40.73208703681688
2015,Wood and articles,Import,16.78175218384392,-50.81260274266531
2016,Wood and articles,Import,18.783345767247337,-56.4224910617458
2017,Wood and articles,Import,19.10127683930747,-56.594650957032165
2018,Wood and articles,Import,18.83285238686118,-52.08132958766786
2019,Wood and articles,Import,19.469267896438783,-49.65155345242781
